Customer ID,Recency,Frequency,Monetary,r_quartile,f_quartile,m_quartile,rfm_score,customer_title,Segment Title,Segment Rank
91,9,8,8066.4400000000005,4,4,3,443,Platinum,Very Loyal Customers,2
92,34,3,5098.43,3,1,2,312,Gold,Late Bloomer,6
93,79,3,5276.129999999999,2,1,2,212,Silver,High Risk Customers,8
94,33,7,8305.77,3,3,4,334,Gold,Potential Customers,5
95,38,4,5049.799999999999,3,1,2,312,Gold,Late Bloomer,6
96,70,3,2783.33,2,1,1,211,Bronze,Almost lost Customers,9
97,102,8,8895.95,1,4,4,144,Bronze,Almost lost Customers,9
98,122,5,6180.05,1,2,3,123,Bronze,Evasive Customers,10
99,2,9,8279.06,4,4,4,444,Platinum,Platinum Customers,1
100,11,2,2748.2,4,1,1,411,Gold,Recent Customers,4
101,8,4,4309.82,4,1,2,412,Platinum,Recent Customers,4
102,42,7,6659.22,3,3,3,333,Gold,Potential Customers,5
103,49,5,4909.84,2,2,2,222,Silver,High Risk Customers,8
104,64,8,7306.93,2,4,3,243,Silver,Losing Customers,7
105,89,4,6234.35,1,1,3,113,Bronze,Evasive Customers,10
106,1,3,2906.16,4,1,1,411,Gold,Recent Customers,4
107,81,4,3345.1000000000004,2,1,1,211,Bronze,Almost lost Customers,9
108,10,3,3556.66,4,1,1,411,Gold,Recent Customers,4
109,8,10,10661.51,4,4,4,444,Platinum,Platinum Customers,1
110,14,7,7788.71,4,3,3,433,Platinum,Very Loyal Customers,2
111,147,4,4873.0599999999995,1,1,2,112,Bronze,Evasive Customers,10
112,47,6,9059.89,2,2,4,224,Silver,Losing Customers,7
113,175,6,5412.969999999999,1,2,2,122,Bronze,Evasive Customers,10
114,70,4,3233.0,2,1,1,211,Bronze,Almost lost Customers,9
115,14,8,8398.18,4,4,4,444,Platinum,Platinum Customers,1
116,12,8,5663.92,4,4,2,442,Platinum,Very Loyal Customers,2
117,5,10,12856.83,4,4,4,444,Platinum,Platinum Customers,1
118,69,5,5319.51,2,2,2,222,Silver,High Risk Customers,8
119,30,4,5217.66,3,1,2,312,Gold,Late Bloomer,6
120,129,3,3118.34,1,1,1,111,Bronze,Lost Customers,11
121,111,4,4327.44,1,1,2,112,Bronze,Evasive Customers,10
122,8,5,6533.389999999999,4,2,3,423,Platinum,Becoming Loyal,3
123,191,4,5337.79,1,1,2,112,Bronze,Evasive Customers,10
124,2,7,8272.15,4,3,4,434,Platinum,Very Loyal Customers,2
125,83,10,7107.32,2,4,3,243,Silver,Losing Customers,7
126,11,3,3448.12,4,1,1,411,Gold,Recent Customers,4
127,23,10,9949.62,3,4,4,344,Gold,Recent Customers,4
128,137,4,3679.75,1,1,1,111,Bronze,Lost Customers,11
129,178,4,4090.48,1,1,1,111,Bronze,Lost Customers,11
130,76,2,3340.42,2,1,1,211,Bronze,Almost lost Customers,9
131,205,6,8745.28,1,2,4,124,Bronze,Almost lost Customers,9
132,7,6,7365.93,4,2,3,423,Platinum,Becoming Loyal,3
133,26,5,3164.55,3,2,1,321,Gold,Late Bloomer,6
134,14,6,7170.95,4,2,3,423,Platinum,Becoming Loyal,3
135,115,7,6860.46,1,3,3,133,Bronze,Almost lost Customers,9
136,20,8,9406.85,3,4,4,344,Gold,Recent Customers,4
137,27,5,3507.0499999999997,3,2,1,321,Gold,Late Bloomer,6
138,64,7,4927.35,2,3,2,232,Silver,Losing Customers,7
139,26,9,10638.89,3,4,4,344,Gold,Recent Customers,4
140,3,6,7649.34,4,2,3,423,Platinum,Becoming Loyal,3
141,159,3,4053.9800000000005,1,1,1,111,Bronze,Lost Customers,11
142,4,11,12474.74,4,4,4,444,Platinum,Platinum Customers,1
143,13,4,4689.21,4,1,2,412,Platinum,Recent Customers,4
144,6,8,8961.14,4,4,4,444,Platinum,Platinum Customers,1
145,28,7,8149.19,3,3,4,334,Gold,Potential Customers,5
146,194,2,1973.29,1,1,1,111,Bronze,Lost Customers,11
147,34,6,8079.09,3,2,3,323,Gold,Potential Customers,5
148,43,5,5808.83,3,2,2,322,Gold,Late Bloomer,6
149,18,6,7091.73,3,2,3,323,Gold,Potential Customers,5
150,75,4,3630.96,2,1,1,211,Bronze,Almost lost Customers,9
151,0,7,11422.85,4,3,4,434,Platinum,Very Loyal Customers,2
152,158,2,2941.37,1,1,1,111,Bronze,Lost Customers,11
153,64,7,7808.16,2,3,3,233,Silver,Losing Customers,7
154,23,5,3521.5299999999997,3,2,1,321,Gold,Late Bloomer,6
155,8,3,4008.51,4,1,1,411,Gold,Recent Customers,4
156,16,5,4831.58,4,2,2,422,Platinum,Becoming Loyal,3
157,135,4,2541.39,1,1,1,111,Bronze,Lost Customers,11
158,65,6,7221.05,2,2,3,223,Silver,High Risk Customers,8
159,66,6,6016.32,2,2,3,223,Silver,High Risk Customers,8
160,93,2,3024.58,1,1,1,111,Bronze,Lost Customers,11
161,159,1,1148.64,1,1,1,111,Bronze,Lost Customers,11
162,98,3,3317.47,1,1,1,111,Bronze,Lost Customers,11
163,114,2,3089.24,1,1,1,111,Bronze,Lost Customers,11
164,198,3,2583.85,1,1,1,111,Bronze,Lost Customers,11
165,8,9,9893.75,4,4,4,444,Platinum,Platinum Customers,1
166,63,8,9737.72,2,4,4,244,Silver,Losing Customers,7
167,14,9,9888.61,4,4,4,444,Platinum,Platinum Customers,1
168,136,8,8563.42,1,4,4,144,Bronze,Almost lost Customers,9
169,61,3,2065.08,2,1,1,211,Bronze,Almost lost Customers,9
170,100,4,4254.31,1,1,2,112,Bronze,Evasive Customers,10
171,18,8,9347.85,3,4,4,344,Gold,Recent Customers,4
172,11,7,9250.22,4,3,4,434,Platinum,Very Loyal Customers,2
173,15,9,14061.48,4,4,4,444,Platinum,Platinum Customers,1
174,11,10,12893.57,4,4,4,444,Platinum,Platinum Customers,1
175,64,5,6008.03,2,2,3,223,Silver,High Risk Customers,8
176,22,5,6733.15,3,2,3,323,Gold,Potential Customers,5
177,37,12,11826.34,3,4,4,344,Gold,Recent Customers,4
178,32,4,3504.09,3,1,1,311,Silver,Late Bloomer,6
179,40,3,3168.84,3,1,1,311,Silver,Late Bloomer,6
180,11,7,7970.57,4,3,3,433,Platinum,Very Loyal Customers,2
181,50,5,4262.27,2,2,2,222,Silver,High Risk Customers,8
182,13,7,9279.01,4,3,4,434,Platinum,Very Loyal Customers,2
183,102,6,5947.98,1,2,2,122,Bronze,Evasive Customers,10
184,32,3,3734.88,3,1,1,311,Silver,Late Bloomer,6
185,8,7,9254.279999999999,4,3,4,434,Platinum,Very Loyal Customers,2
186,23,6,5550.85,3,2,2,322,Gold,Late Bloomer,6
187,14,7,6898.79,4,3,3,433,Platinum,Very Loyal Customers,2
188,15,6,5126.07,4,2,2,422,Platinum,Becoming Loyal,3
189,3,5,8633.69,4,2,4,424,Platinum,Becoming Loyal,3
190,29,4,3083.07,3,1,1,311,Silver,Late Bloomer,6
191,105,1,1065.03,1,1,1,111,Bronze,Lost Customers,11
192,79,4,3836.29,2,1,1,211,Bronze,Almost lost Customers,9
193,24,5,7368.36,3,2,3,323,Gold,Potential Customers,5
194,108,3,4313.530000000001,1,1,2,112,Bronze,Evasive Customers,10
195,0,7,12479.46,4,3,4,434,Platinum,Very Loyal Customers,2
196,146,8,6346.61,1,4,3,143,Bronze,Almost lost Customers,9
197,27,9,8456.02,3,4,4,344,Gold,Recent Customers,4
198,58,9,11648.85,2,4,4,244,Silver,Losing Customers,7
199,15,4,4323.860000000001,4,1,2,412,Platinum,Recent Customers,4
200,7,9,11117.36,4,4,4,444,Platinum,Platinum Customers,1
201,28,8,9167.380000000001,3,4,4,344,Gold,Recent Customers,4
202,18,3,2511.82,3,1,1,311,Silver,Late Bloomer,6
203,11,5,4376.26,4,2,2,422,Platinum,Becoming Loyal,3
204,27,8,11444.0,3,4,4,344,Gold,Recent Customers,4
205,52,9,6904.88,2,4,3,243,Silver,Losing Customers,7
206,77,4,5633.8099999999995,2,1,2,212,Silver,High Risk Customers,8
207,279,3,4448.26,1,1,2,112,Bronze,Evasive Customers,10
208,27,5,5158.98,3,2,2,322,Gold,Late Bloomer,6
209,107,5,6093.4800000000005,1,2,3,123,Bronze,Evasive Customers,10
210,22,6,8805.2,3,2,4,324,Gold,Potential Customers,5
211,39,9,10073.76,3,4,4,344,Gold,Recent Customers,4
212,187,2,2429.8,1,1,1,111,Bronze,Lost Customers,11
213,28,11,13555.56,3,4,4,344,Gold,Recent Customers,4
214,56,6,6834.46,2,2,3,223,Silver,High Risk Customers,8
215,3,8,8485.16,4,4,4,444,Platinum,Platinum Customers,1
216,16,4,4801.610000000001,4,1,2,412,Platinum,Recent Customers,4
217,4,8,11465.25,4,4,4,444,Platinum,Platinum Customers,1
218,14,4,3125.6,4,1,1,411,Gold,Recent Customers,4
219,40,6,6156.27,3,2,3,323,Gold,Potential Customers,5
220,15,6,7458.69,4,2,3,423,Platinum,Becoming Loyal,3
221,18,6,6729.84,3,2,3,323,Gold,Potential Customers,5
222,20,2,2626.81,3,1,1,311,Silver,Late Bloomer,6
223,52,7,9805.5,2,3,4,234,Silver,Losing Customers,7
224,1,6,6209.46,4,2,3,423,Platinum,Becoming Loyal,3
225,37,3,2416.13,3,1,1,311,Silver,Late Bloomer,6
226,116,2,1639.95,1,1,1,111,Bronze,Lost Customers,11
227,26,5,5589.13,3,2,2,322,Gold,Late Bloomer,6
228,77,5,5178.17,2,2,2,222,Silver,High Risk Customers,8
229,60,5,4473.07,2,2,2,222,Silver,High Risk Customers,8
230,36,11,11755.6,3,4,4,344,Gold,Recent Customers,4
231,45,4,5338.64,2,1,2,212,Silver,High Risk Customers,8
232,141,6,4132.44,1,2,1,121,Bronze,Evasive Customers,10
233,17,6,5218.62,4,2,2,422,Platinum,Becoming Loyal,3
234,11,9,11070.19,4,4,4,444,Platinum,Platinum Customers,1
235,2,11,9629.61,4,4,4,444,Platinum,Platinum Customers,1
236,6,4,5255.34,4,1,2,412,Platinum,Recent Customers,4
237,26,8,7156.79,3,4,3,343,Gold,Potential Customers,5
238,107,5,5838.6,1,2,2,122,Bronze,Evasive Customers,10
239,1,9,12986.130000000001,4,4,4,444,Platinum,Platinum Customers,1
240,88,6,5689.53,1,2,2,122,Bronze,Evasive Customers,10
241,47,4,3855.87,2,1,1,211,Bronze,Almost lost Customers,9
242,131,7,7798.25,1,3,3,133,Bronze,Almost lost Customers,9
243,74,5,6741.57,2,2,3,223,Silver,High Risk Customers,8
244,194,3,4356.25,1,1,2,112,Bronze,Evasive Customers,10
245,12,5,4855.26,4,2,2,422,Platinum,Becoming Loyal,3
246,27,9,9724.98,3,4,4,344,Gold,Recent Customers,4
247,112,7,9778.37,1,3,4,134,Bronze,Almost lost Customers,9
248,134,7,8902.16,1,3,4,134,Bronze,Almost lost Customers,9
249,47,9,6569.14,2,4,3,243,Silver,Losing Customers,7
250,31,7,9866.27,3,3,4,334,Gold,Potential Customers,5
251,38,4,3425.0,3,1,1,311,Silver,Late Bloomer,6
252,62,5,5565.48,2,2,2,222,Silver,High Risk Customers,8
253,17,5,2932.39,4,2,1,421,Platinum,Becoming Loyal,3
254,41,7,9801.07,3,3,4,334,Gold,Potential Customers,5
255,57,11,14027.76,2,4,4,244,Silver,Losing Customers,7
256,0,5,5861.16,4,2,2,422,Platinum,Becoming Loyal,3
257,92,5,7616.05,1,2,3,123,Bronze,Evasive Customers,10
258,18,5,4816.4,3,2,2,322,Gold,Late Bloomer,6
259,27,4,5329.9400000000005,3,1,2,312,Gold,Late Bloomer,6
260,8,9,8587.0,4,4,4,444,Platinum,Platinum Customers,1
261,50,9,9137.67,2,4,4,244,Silver,Losing Customers,7
262,10,5,4597.37,4,2,2,422,Platinum,Becoming Loyal,3
263,46,7,7902.84,2,3,3,233,Silver,Losing Customers,7
264,48,4,2339.8599999999997,2,1,1,211,Bronze,Almost lost Customers,9
265,79,4,4809.14,2,1,2,212,Silver,High Risk Customers,8
266,32,4,4191.43,3,1,2,312,Gold,Late Bloomer,6
267,130,4,5029.25,1,1,2,112,Bronze,Evasive Customers,10
268,69,4,5104.56,2,1,2,212,Silver,High Risk Customers,8
269,168,5,5215.37,1,2,2,122,Bronze,Evasive Customers,10
270,7,7,7413.610000000001,4,3,3,433,Platinum,Very Loyal Customers,2
271,202,2,2293.0200000000004,1,1,1,111,Bronze,Lost Customers,11
272,91,7,7345.17,1,3,3,133,Bronze,Almost lost Customers,9
273,28,10,11372.24,3,4,4,344,Gold,Recent Customers,4
274,149,4,2597.6800000000003,1,1,1,111,Bronze,Lost Customers,11
275,132,7,8902.17,1,3,4,134,Bronze,Almost lost Customers,9
276,3,6,6112.08,4,2,3,423,Platinum,Becoming Loyal,3
277,21,4,4539.22,3,1,2,312,Gold,Late Bloomer,6
278,248,1,1228.07,1,1,1,111,Bronze,Lost Customers,11
279,14,6,3817.17,4,2,1,421,Platinum,Becoming Loyal,3
280,43,11,12587.58,3,4,4,344,Gold,Recent Customers,4
281,9,4,3537.46,4,1,1,411,Gold,Recent Customers,4
282,69,2,2565.84,2,1,1,211,Bronze,Almost lost Customers,9
283,91,6,8380.59,1,2,4,124,Bronze,Almost lost Customers,9
284,133,5,5874.839999999999,1,2,2,122,Bronze,Evasive Customers,10
285,7,6,6725.29,4,2,3,423,Platinum,Becoming Loyal,3
286,137,4,6402.0599999999995,1,1,3,113,Bronze,Evasive Customers,10
287,138,1,2083.94,1,1,1,111,Bronze,Lost Customers,11
288,44,4,3936.5699999999997,3,1,1,311,Silver,Late Bloomer,6
289,44,9,9320.12,3,4,4,344,Gold,Recent Customers,4
290,11,5,5912.93,4,2,2,422,Platinum,Becoming Loyal,3
291,40,2,983.55,3,1,1,311,Silver,Late Bloomer,6
292,58,7,8825.97,2,3,4,234,Silver,Losing Customers,7
293,10,5,5175.56,4,2,2,422,Platinum,Becoming Loyal,3
294,115,7,8719.14,1,3,4,134,Bronze,Almost lost Customers,9
295,34,7,5956.46,3,3,2,332,Gold,Potential Customers,5
296,8,3,4016.36,4,1,1,411,Gold,Recent Customers,4
297,8,4,5674.71,4,1,2,412,Platinum,Recent Customers,4
298,8,10,11393.82,4,4,4,444,Platinum,Platinum Customers,1
299,92,7,10296.12,1,3,4,134,Bronze,Almost lost Customers,9
300,156,5,7003.74,1,2,3,123,Bronze,Evasive Customers,10
301,93,2,361.78,1,1,1,111,Bronze,Lost Customers,11
302,276,2,2024.93,1,1,1,111,Bronze,Lost Customers,11
303,43,3,3874.1800000000003,3,1,1,311,Silver,Late Bloomer,6
304,80,9,7284.7,2,4,3,243,Silver,Losing Customers,7
305,33,7,6385.26,3,3,3,333,Gold,Potential Customers,5
306,123,2,1362.46,1,1,1,111,Bronze,Lost Customers,11
307,15,9,9818.0,4,4,4,444,Platinum,Platinum Customers,1
308,25,6,7432.02,3,2,3,323,Gold,Potential Customers,5
309,9,4,5475.93,4,1,2,412,Platinum,Recent Customers,4
310,8,7,9065.04,4,3,4,434,Platinum,Very Loyal Customers,2
311,61,6,7559.06,2,2,3,223,Silver,High Risk Customers,8
312,13,6,7564.12,4,2,3,423,Platinum,Becoming Loyal,3
313,17,6,8979.0,4,2,4,424,Platinum,Becoming Loyal,3
314,20,8,6264.7300000000005,3,4,3,343,Gold,Potential Customers,5
315,27,9,7677.51,3,4,3,343,Gold,Potential Customers,5
316,11,4,3813.84,4,1,1,411,Gold,Recent Customers,4
317,51,5,6692.47,2,2,3,223,Silver,High Risk Customers,8
318,9,7,9276.07,4,3,4,434,Platinum,Very Loyal Customers,2
319,71,5,7051.54,2,2,3,223,Silver,High Risk Customers,8
320,12,10,11721.06,4,4,4,444,Platinum,Platinum Customers,1
321,12,5,5405.99,4,2,2,422,Platinum,Becoming Loyal,3
322,1,12,14782.23,4,4,4,444,Platinum,Platinum Customers,1
323,35,6,4992.110000000001,3,2,2,322,Gold,Late Bloomer,6
324,21,5,2711.14,3,2,1,321,Gold,Late Bloomer,6
325,133,6,7543.92,1,2,3,123,Bronze,Evasive Customers,10
326,161,3,3419.08,1,1,1,111,Bronze,Lost Customers,11
327,16,5,6108.21,4,2,3,423,Platinum,Becoming Loyal,3
328,4,8,5739.53,4,4,2,442,Platinum,Very Loyal Customers,2
329,34,6,5425.24,3,2,2,322,Gold,Late Bloomer,6
330,107,6,8513.2,1,2,4,124,Bronze,Almost lost Customers,9
331,82,6,7052.26,2,2,3,223,Silver,High Risk Customers,8
332,263,2,1362.46,1,1,1,111,Bronze,Lost Customers,11
333,22,7,6422.91,3,3,3,333,Gold,Potential Customers,5
334,56,6,6125.9,2,2,3,223,Silver,High Risk Customers,8
335,24,2,2234.34,3,1,1,311,Silver,Late Bloomer,6
336,82,5,3711.9500000000003,2,2,1,221,Silver,High Risk Customers,8
337,37,6,5855.57,3,2,2,322,Gold,Late Bloomer,6
338,10,7,8578.51,4,3,4,434,Platinum,Very Loyal Customers,2
339,58,5,6459.18,2,2,3,223,Silver,High Risk Customers,8
340,30,8,8079.91,3,4,3,343,Gold,Potential Customers,5
341,134,2,3532.9399999999996,1,1,1,111,Bronze,Lost Customers,11
342,93,4,2455.7599999999998,1,1,1,111,Bronze,Lost Customers,11
343,103,9,10378.0,1,4,4,144,Bronze,Almost lost Customers,9
344,8,9,11386.87,4,4,4,444,Platinum,Platinum Customers,1
345,19,7,7446.139999999999,3,3,3,333,Gold,Potential Customers,5
346,12,9,8874.36,4,4,4,444,Platinum,Platinum Customers,1
347,59,7,12360.26,2,3,4,234,Silver,Losing Customers,7
348,125,6,5562.58,1,2,2,122,Bronze,Evasive Customers,10
349,166,5,4619.93,1,2,2,122,Bronze,Evasive Customers,10
350,4,6,4728.13,4,2,2,422,Platinum,Becoming Loyal,3
351,11,2,2832.11,4,1,1,411,Gold,Recent Customers,4
352,25,6,8533.27,3,2,4,324,Gold,Potential Customers,5
353,23,11,13721.09,3,4,4,344,Gold,Recent Customers,4
354,67,6,5392.11,2,2,2,222,Silver,High Risk Customers,8
355,45,5,4674.02,2,2,2,222,Silver,High Risk Customers,8
356,61,5,5765.9,2,2,2,222,Silver,High Risk Customers,8
357,15,8,8779.220000000001,4,4,4,444,Platinum,Platinum Customers,1
358,70,2,2129.82,2,1,1,211,Bronze,Almost lost Customers,9
359,8,10,8564.63,4,4,4,444,Platinum,Platinum Customers,1
360,8,5,6069.39,4,2,3,423,Platinum,Becoming Loyal,3
361,146,7,6592.67,1,3,3,133,Bronze,Almost lost Customers,9
362,0,5,3486.48,4,2,1,421,Platinum,Becoming Loyal,3
363,14,6,11621.14,4,2,4,424,Platinum,Becoming Loyal,3
364,11,6,6791.39,4,2,3,423,Platinum,Becoming Loyal,3
365,50,7,8188.29,2,3,4,234,Silver,Losing Customers,7
366,115,6,5867.110000000001,1,2,2,122,Bronze,Evasive Customers,10
367,43,6,7014.01,3,2,3,323,Gold,Potential Customers,5
368,13,9,9300.06,4,4,4,444,Platinum,Platinum Customers,1
369,101,8,9536.35,1,4,4,144,Bronze,Almost lost Customers,9
370,111,7,7633.95,1,3,3,133,Bronze,Almost lost Customers,9
371,9,5,6859.8,4,2,3,423,Platinum,Becoming Loyal,3
372,31,8,6870.42,3,4,3,343,Gold,Potential Customers,5
373,223,1,1466.68,1,1,1,111,Bronze,Lost Customers,11
374,13,6,7756.64,4,2,3,423,Platinum,Becoming Loyal,3
375,91,4,3460.33,1,1,1,111,Bronze,Lost Customers,11
376,43,3,1981.8899999999999,3,1,1,311,Silver,Late Bloomer,6
377,6,12,10730.42,4,4,4,444,Platinum,Platinum Customers,1
378,124,7,5827.91,1,3,2,132,Bronze,Almost lost Customers,9
379,145,2,2849.83,1,1,1,111,Bronze,Lost Customers,11
380,35,8,10261.59,3,4,4,344,Gold,Recent Customers,4
381,2,8,8019.8,4,4,3,443,Platinum,Very Loyal Customers,2
382,35,7,6536.92,3,3,3,333,Gold,Potential Customers,5
383,51,3,3922.8999999999996,2,1,1,211,Bronze,Almost lost Customers,9
384,85,5,5068.24,2,2,2,222,Silver,High Risk Customers,8
385,78,9,10758.23,2,4,4,244,Silver,Losing Customers,7
386,66,5,5445.4400000000005,2,2,2,222,Silver,High Risk Customers,8
387,31,3,5303.1,3,1,2,312,Gold,Late Bloomer,6
388,55,3,2857.55,2,1,1,211,Bronze,Almost lost Customers,9
389,113,6,3948.4300000000003,1,2,1,121,Bronze,Evasive Customers,10
390,76,6,4490.52,2,2,2,222,Silver,High Risk Customers,8
391,56,4,3132.87,2,1,1,211,Bronze,Almost lost Customers,9
392,101,7,8157.6,1,3,4,134,Bronze,Almost lost Customers,9
393,146,2,2728.3599999999997,1,1,1,111,Bronze,Lost Customers,11
394,45,8,7818.74,2,4,3,243,Silver,Losing Customers,7
395,30,7,7802.49,3,3,3,333,Gold,Potential Customers,5
396,29,6,6560.6900000000005,3,2,3,323,Gold,Potential Customers,5
397,45,5,3791.1,2,2,1,221,Silver,High Risk Customers,8
398,12,7,4446.48,4,3,2,432,Platinum,Becoming Loyal,3
399,49,6,7848.56,2,2,3,223,Silver,High Risk Customers,8
400,134,5,4266.01,1,2,2,122,Bronze,Evasive Customers,10
401,29,7,7478.68,3,3,3,333,Gold,Potential Customers,5
402,56,6,8148.22,2,2,4,224,Silver,Losing Customers,7
403,56,6,6122.63,2,2,3,223,Silver,High Risk Customers,8
404,18,9,9330.26,3,4,4,344,Gold,Recent Customers,4
405,14,6,7468.88,4,2,3,423,Platinum,Becoming Loyal,3
406,106,6,5892.509999999999,1,2,2,122,Bronze,Evasive Customers,10
407,9,9,7837.83,4,4,3,443,Platinum,Very Loyal Customers,2
408,17,5,5252.97,4,2,2,422,Platinum,Becoming Loyal,3
